KOname	ko
MAST; microtubule-associated serine/threonine kinase	K08789
MATA1; mating-type protein A1	K09358
MATA2; mating-type protein A2	K09359
matB; malonyl-CoA/methylmalonyl-CoA synthetase	K18661
matB; malonyl-CoA/methylmalonyl-CoA synthetase	K18662
MATK; maturase K	K20000
MATK; megakaryocyte-associated tyrosine kinase	K08888
MAT; minovincinine 19-hydroxy-O-acetyltransferase	K12699
MATN; matrilin	K19467
MATR3; matrin 3	K13213
MAU2; MAternally affected uncoordination	K11266
mauA; methylamine dehydrogenase light chain	K15228
mauB; methylamine dehydrogenase heavy chain	K15229
mauC; amicyanin	K24619
MAVS, IPS1; mitochondrial antiviral-signaling protein	K12648
MAX; Max protein	K04453
mazE, chpAI; antitoxin MazE	K07172
mazF, ndoA, chpA; mRNA interferase MazF	K07171
mazG; nucleoside triphosphate diphosphatase	K04765
MB21D1; cyclic GMP-AMP synthase	K17834
MBA1; mitochondrial protein MBA1	K17801
mbaA; c-di-GMP phosphodiesterase	K20966
MBD1; methyl-CpG-binding domain protein 1	K11589
MBD2; methyl-CpG-binding domain protein 2	K11590
MBD3; methyl-CpG-binding domain protein 3	K11591
MBD4; methyl-CpG-binding domain protein 4	K10801
MBD5; methyl-CpG-binding domain protein 5	K23219
MBD9; methyl-CpG-binding domain-containing protein 9	K22768
MBF1; putative transcription factor	K03627
mbfA; erythrin-vacuolar iron transport family protein	K22737
mbhJ; membrane-bound hydrogenase subunit mbhJ	K18023
mbhK; membrane-bound hydrogenase subunit beta	K18017
mbhL; membrane-bound hydrogenase subunit alpha	K18016
MBIP; MAP3K12-binding inhibitory protein 1	K24538
MBL; mannose-binding lectin	K03991
MB; myoglobin	K21892
MBNL; muscleblind	K14943
MBOAT1_2; lysophospholipid acyltransferase 1/2	K13517
MBOAT7; lysophospholipid acyltransferase 7	K13516
MBP1; transcription factor MBP1	K06647
MBP; myelin basic protein	K17269
mbtA; mycobactin salicyl-AMP ligase	K04787
mbtB; mycobactin phenyloxazoline synthetase	K04788
mbtC; mycobactin polyketide synthetase MbtC	K04790
mbtD; mycobactin polyketide synthetase MbtD	K04791
mbtE; mycobactin peptide synthetase MbtE	K04789
mbtF; mycobactin peptide synthetase MbtF	K04792
mbtG; mycobactin lysine-N-oxygenase	K04793
mbtH, nocI; MbtH protein	K05375
mbtI, irp9, ybtS; salicylate synthetase	K04781
mbtK; lysine N-acyltransferase	K21992
mbtM; long-chain-fatty-acid--[acyl-carrier-protein] ligase	K01909
mbtN, fadE14; acyl-ACP dehydrogenase	K00257
MBTPS1; membrane-bound transcription factor site-1 protease	K08653
MBTPS2; S2P endopeptidase	K07765
MBZ1; bZIP-type transcription factor MBZ1	K21452
MC053L, MC054L; MOCV1 interleukin 18 binding protein	K23391
MC1R; melanocortin 1 receptor	K04199
MC2R; melanocortin 2 receptor	K04200
MC3R; melanocortin 3 receptor	K04201
MC4R; melanocortin 4 receptor	K04202
MC5R; melanocortin 5 receptor	K04203
MCA1; metacaspase-1	K22684
MCAM, CD146; melanoma cell adhesion molecule	K06534
mca; mycothiol S-conjugate amidase	K18455
mcaS; small regulatory RNA McaS	K21091
mcbA; MqsR-controlled colanic acid and biofilm protein A	K13650
mcbR; GntR family transcriptional regulator, colanic acid and biofilm gene transcriptional regulator	K13654
MCC1; histone acetyltransferase MCC1	K22767
mccA; cystathionine beta-synthase (O-acetyl-L-serine)	K17216
mccB; cystathionine gamma-lyase / homocysteine desulfhydrase	K17217
mcd; (2S)-methylsuccinyl-CoA dehydrogenase	K14448
MCEE, epi; methylmalonyl-CoA/ethylmalonyl-CoA epimerase	K05606
MCF2, ARHGEF14_21_22; guanine nucleotide exchange factor MCF2	K20685
MCFD2; multiple coagulation factor deficiency protein 2	K20364
mch, mcd; 2-methylfumaryl-CoA hydratase	K14449
MCH; medium-chain acyl-[acyl-carrier-protein] hydrolase	K01071
mch; methenyltetrahydromethanopterin cyclohydrolase	K01499
MCHR1; melanin-concentrating hormone receptor 1	K04320
MCHR2; melanin-concentrating hormone receptor 2	K05054
MCK1; protein kinase MCK1	K22009
MCL1; myeloid leukemia cell differntiation protein MCL-1	K02539
mcl2; (3S)-malyl-CoA thioesterase	K14451
mcl; beta-methylmalyl-CoA/(S)-malyl-CoA lyase	K19281
mcl; malyl-CoA/(S)-citramalyl-CoA lyase	K08691
MCM10; minichromosome maintenance protein 10	K10736
MCM1; pheromone receptor transcription factor	K12412
MCM2; DNA replication licensing factor MCM2	K02540
MCM3AP; germinal-center associated nuclear protein	K24317
MCM3; DNA replication licensing factor MCM3	K02541
MCM4, CDC54; DNA replication licensing factor MCM4	K02212
MCM5, CDC46; DNA replication licensing factor MCM5	K02209
MCM6; DNA replication licensing factor MCM6	K02542
MCM7, CDC47; DNA replication licensing factor MCM7	K02210
MCM8; DNA helicase MCM8	K10737
MCM9; DNA helicase MCM9	K10738
mcm, cdc21; replicative DNA helicase Mcm	K10726
mcoA; manganese oxidase	K22350
MCOLN1, TRPML1; mucolipin 1	K04992
MCOLN2, TRPML2; mucolipin 2	K04993
MCOLN3, TRPML3; mucolipin 3	K04994
MCPH1; microcephalin	K19403
mcp; methyl-accepting chemotaxis protein	K03406
MCPT1; mast cell peptidase 1	K08661
MCPT2; mast cell peptidase 2	K08662
mcrA; 5-methylcytosine-specific restriction enzyme A	K07451
mcrA; methyl-coenzyme M reductase alpha subunit	K00399
mcrB; 5-methylcytosine-specific restriction enzyme B	K07452
mcrB; methyl-coenzyme M reductase beta subunit	K00401
mcrC; 5-methylcytosine-specific restriction enzyme subunit McrC	K19147
mcrC; methyl-coenzyme M reductase subunit C	K03421
mcrD; methyl-coenzyme M reductase subunit D	K03422
mcrG; methyl-coenzyme M reductase gamma subunit	K00402
mcr; malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+)	K14468
MCRS1, INO80Q; microspherule protein 1	K11674
mcsA; protein arginine kinase activator	K19411
mcsB; protein arginine kinase	K19405
mct; 2-methylfumaryl-CoA isomerase	K14470
MCTS, TMA20; malignant T-cell-amplified sequence	K07575
mct; succinyl-CoA:mesaconate CoA transferase	K19280
MCUB; calcium uniporter regulatory subunit MCUb, mitochondrial	K22829
MCU; calcium uniporter protein, mitochondrial	K20858
MCUR1; mitochondrial calcium uniporter regulator 1	K22137
mcyA; microcystin synthetase protein McyA	K16130
mcyB; microcystin synthetase protein McyB	K16131
mcyC; microcystin synthetase protein McyC	K16132
mcyD; microcystin synthetase protein McyD	K16128
mcyE; microcystin synthetase protein McyE	K16129
mcyG; microcystin synthetase protein McyG	K16127
mcyI; microcystin synthetase protein McyI	K16133
mcyJ; microcystin synthetase protein McyJ	K16134
mdaB; NADPH dehydrogenase (quinone)	K03923
MDC1; mediator of DNA damage checkpoint protein 1	K20780
mdcA; malonate decarboxylase alpha subunit	K13929
mdcB; triphosphoribosyl-dephospho-CoA synthase	K13930
mdcC; malonate decarboxylase delta subunit	K13931
mdcD; malonate decarboxylase beta subunit	K13932
mdcE; malonate decarboxylase gamma subunit	K13933
mdcF; malonate transporter and related proteins	K13936
mdcG; phosphoribosyl-dephospho-CoA transferase	K13934
mdcH; malonate decarboxylase epsilon subunit	K13935
mdcR; LysR family transcriptional regulator, malonate utilization transcriptional regulator	K13928
mddA; methanethiol S-methyltransferase	K21310
mdeA; MFS transporter, DHA2 family, multidrug resistance protein	K18936
mdfA, cmr; MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein	K08160
MDH1; malate dehydrogenase	K00025
mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1	K14028
MDH2; malate dehydrogenase	K00026
mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2	K14029
mdh; malate dehydrogenase	K00024
mdh; methanol dehydrogenase	K00093
MDK; midkine	K06828
MDL3; (R)-mandelonitrile lyase	K08248
mdlA; mandelate racemase	K01781
mdlA, smdA; ATP-binding cassette, subfamily B, multidrug efflux pump	K18889
mdlB; (S)-mandelate dehydrogenase	K15054
mdlB, smdB; ATP-binding cassette, subfamily B, multidrug efflux pump	K18890
mdlC; benzoylformate decarboxylase	K01576
mdlY; mandelamide amidase	K18541
MDM10; mitochondrial distribution and morphology protein 10	K17774
MDM12; mitochondrial distribution and morphology protein 12	K17765
MDM1; nuclear protein MDM1	K17886
MDM2; E3 ubiquitin-protein ligase Mdm2	K06643
MDM30; mitochondrial distribution and morphology protein 30	K15070
MDM31; mitochondrial distribution and morphology protein 31	K17979
MDM32; mitochondrial distribution and morphology protein 32	K17980
MDM34, MMM2; mitochondrial distribution and morphology protein 34	K17775
MDM4, MDMX; protein Mdm4	K10127
MDN1, REA1; midasin	K14572
mdo; 3-mercaptopropionate dioxygenase	K24700
mdoB; phosphoglycerol transferase	K01002
mdoC; glucans biosynthesis protein C	K11941
mdo; formaldehyde dismutase / methanol dehydrogenase	K17067
mdoG; periplasmic glucans biosynthesis protein	K03670
mdoH; membrane glycosyltransferase	K03669
MDP1; magnesium-dependent phosphatase 1	K17619
mdpA4; C-methyltransferase	K21336
mdpA5; aminotransferase	K21337
mdpA6; glycosyltransferase	K21194
mdpB1; methyltransferase	K21192
mdpB2; CoA ligase	K21191
mdpB3; acetyltransferase/esterase	K21193
mdpC6; O-methyltransferase	K21189
mdpC7; PLP-dependent transaminase	K21188
mdpC8; dehydrogenase	K21190
MDPG; monodictyphenone polyketide synthase	K15415
mdpJ; tert-butyl alcohol monooxygenase / tert-amyl alcohol desaturase	K21323
mdpK; tert-butyl alcohol monooxygenase/tert-amyl alcohol desaturase reductase	K21324
MDR1, FLR1, CAF5; MFS transporter, DHA1 family, multidrug resistance protein	K08158
MDS1, RIM11; serine/threonine-protein kinase MDS1/RIM11	K12766
MDS; miltiradiene synthase / copalyl diphosphate synthase	K18113
mdtA; membrane fusion protein, multidrug efflux system	K07799
mdtB; multidrug efflux pump	K07788
mdtC; multidrug efflux pump	K07789
mdtD; MFS transporter, DHA2 family, multidrug resistance protein	K18326
mdtE; membrane fusion protein, multidrug efflux system	K18898
mdtF; multidrug efflux pump	K18899
mdtG; MFS transporter, DHA1 family, multidrug resistance protein	K08161
mdtH; MFS transporter, DHA1 family, multidrug resistance protein	K08162
mdtI; spermidine export protein MdtI	K11742
mdtJ; spermidine export protein MdtJ	K11743
mdtL; MFS transporter, DHA1 family, multidrug resistance protein	K08163
mdtM; MFS transporter, DHA1 family, multidrug resistance protein	K23241
mdtN; membrane fusion protein, multidrug efflux system	K15549
mdtO; multidrug resistance protein MdtO	K15547
mdtP; outer membrane protein, multidrug efflux system	K15550
MDV1, FIS2; mitochondrial division protein 1	K17970
ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating)	K00027
MEC1; cell cycle checkpoint protein MEC1	K02543
MEC3; G2-specific checkpoint protein	K02544
mecA1_2; adapter protein MecA 1/2	K16511
mecA; penicillin-binding protein 2 prime	K02545
MecgoR; methylecgonone reductase	K19651
mecI; BlaI family transcriptional regulator, methicillin resistance regulatory protein	K02546
mec;	K21140
MECOM, EVI1, PRDM3;	K04462
MECP2; methyl CpG binding protein 2	K11588
mecR1; methicillin resistance protein	K02547
MECR, NRBF1; mitochondrial enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase	K07512
MED10, NUT2; mediator of RNA polymerase II transcription subunit 10	K15151
MED11; mediator of RNA polymerase II transcription subunit 11, fungi type	K15132
MED11; mediator of RNA polymerase II transcription subunit 11	K15131
MED12; mediator of RNA polymerase II transcription subunit 12	K15162
MED13; mediator of RNA polymerase II transcription subunit 13	K15164
MED14, RGR1; mediator of RNA polymerase II transcription subunit 14	K15156
MED15; mediator of RNA polymerase II transcription subunit 15	K15157
MED16; mediator of RNA polymerase II transcription subunit 16	K15159
MED17; mediator of RNA polymerase II transcription subunit 17	K15133
MED18; mediator of RNA polymerase II transcription subunit 18	K15135
MED19; mediator of RNA polymerase II transcription subunit 19	K15137
MED1; mediator of RNA polymerase II transcription subunit 1, fungi type	K15145
MED1; mediator of RNA polymerase II transcription subunit 1	K15144
MED20; mediator of RNA polymerase II transcription subunit 20	K13528
MED21, SRB7; mediator of RNA polymerase II transcription subunit 21	K15152
MED22; mediator of RNA polymerase II transcription subunit 22	K15139
MED23; mediator of RNA polymerase II transcription subunit 23	K15166
MED24; mediator of RNA polymerase II transcription subunit 24	K15167
MED25; mediator of RNA polymerase II transcription subunit 25	K15168
MED26; mediator of RNA polymerase II transcription subunit 26	K15169
MED27; mediator of RNA polymerase II transcription subunit 27	K15170
MED28; mediator of RNA polymerase II transcription subunit 28	K15141
MED29; mediator of RNA polymerase II transcription subunit 29	K15142
MED2; mediator of RNA polymerase II transcription subunit 2	K15154
MED30; mediator of RNA polymerase II transcription subunit 30	K15143
MED31, SOH1; mediator of RNA polymerase II transcription subunit 31	K15153
MED3, HRS1, PGD1; mediator of RNA polymerase II transcription subunit 3	K15155
MED4; mediator of RNA polymerase II transcription subunit 4	K15146
MED5, NUT1; mediator of RNA polymerase II transcription subunit 5	K15147
MED6; mediator of RNA polymerase II transcription subunit 6	K15128
MED7; mediator of RNA polymerase II transcription subunit 7	K15148
MED8; mediator of RNA polymerase II transcription subunit 8, fungi type	K15130
MED8; mediator of RNA polymerase II transcription subunit 8	K15129
MED9; mediator of RNA polymerase II transcription subunit 9	K15149
med; transcriptional activator of comK gene	K05519
MEF2A; MADS-box transcription enhancer factor 2A	K09260
MEF2B; MADS-box transcription enhancer factor 2B	K09261
MEF2BNB, BORCS8; BLOC-1 related complex subunit 8	K20822
MEF2C; MADS-box transcription enhancer factor 2C	K04454
MEF2D; MADS-box transcription enhancer factor 2D	K09262
mef; MFS transporter, DHA3 family, macrolide efflux protein	K08217
MEFV; pyrin	K12803
megDIII; dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase	K13326
megDI; TDP-megosamine glycosyltransferase	K15998
megDV; dTDP-4-keto-6-deoxyhexose 4-ketoreductase	K13322
megDVI; TDP-megosamine glycosyltransferase auxiliary protein	K19698
MEGF10_11; multiple epidermal growth factor-like domains protein 10/11	K24068
MEGF6; multiple epidermal growth factor-like domains protein 6	K24333
MEGF8; multipile epidermal growth factor-like domains protein 8	K23664
MEGF9; multiple epidermal growth factor-like domains protein 9	K24334
megY; mycarose O-acyltransferase	K15999
meh; 3-methylfumaryl-CoA hydratase	K09709
MEIOB; meiosis-specific with OB domain-containing protein	K22420
MEIS1; homeobox protein Meis1	K15613
MEIS2; homeobox protein Meis2	K16670
MEIS3; homeobox protein Meis3	K16671
MEK1; meiosis-specific serine/threonine-protein kinase MEK1	K12776
MEK1, MKK1; mitogen-activated protein kinase kinase 1	K20602
MEKK1; mitogen-activated protein kinase kinase kinase 1	K13414
MEKK2; mitogen-activated protein kinase kinase kinase 2	K20605
MEL26; BTB domain ubiquitin protein ligase cofactor	K03876
melA; alpha-galactosidase	K07406
melB; melibiose permease	K11104
MELK; maternal embryonic leucine zipper kinase	K08799
melR; AraC family transcriptional regulator, melibiose operon regulatory protein	K23237
MELT; melittin	K23162
MELT; protein melted	K24027
MEMO1; MEMO1 family protein	K06990
MEN1, MNN1; menin	K14970
menA; 1,4-dihydroxy-2-naphthoate polyprenyltransferase	K02548
menB; naphthoate synthase	K01661
menC; o-succinylbenzoate synthase	K02549
menD; 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	K02551
menE; o-succinylbenzoate---CoA ligase	K01911
menF; menaquinone-specific isochorismate synthase	K02552
MENG, menG; demethylphylloquinol methyltransferase	K23095
menH; 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	K08680
menI, DHNAT; 1,4-dihydroxy-2-naphthoyl-CoA hydrolase	K19222
menJ; menaquinone-9 beta-reductase	K21401
MEOX, MOX; homeobox protein MOX	K09322
MEP1A; meprin A	K01395
MEP1B; meprin B	K08606
mepA; multidrug efflux pump	K18908
mepA; penicillin-insensitive murein DD-endopeptidase	K07261
MEPB; metallopeptidase MepB	K13726
MEPCE, BCDIN3; 7SK snRNA methylphosphate capping enzyme	K15190
MEP; extracellular elastinolytic metalloproteinase	K01417
mepH; murein DD-endopeptidase	K19303
mepM; murein DD-endopeptidase	K19304
MEP; peptidyl-Lys metalloendopeptidase	K08646
mepR; MarR family transcriptional regulator, repressor for mepA	K18909
mepS, spr; murein DD-endopeptidase / murein LD-carboxypeptidase	K13694
mer; 5,10-methylenetetrahydromethanopterin reductase	K00320
merA; mercuric reductase	K00520
merC; mercuric ion transport protein	K19058
merD; MerR family transcriptional regulator, mercuric resistance operon regulatory protein	K19057
merE; mercuric ion transport protein	K19059
merP; periplasmic mercuric ion binding protein	K08364
merR; MerR family transcriptional regulator, mercuric resistance operon regulatory protein	K08365
MERTK, MER; c-mer proto-oncogene tyrosine kinase	K05117
merT; mercuric ion transport protein	K08363
MESO1, ERG25; methylsterol monooxygenase	K07750
MESP; mesoderm posterior	K09076
MET17; O-acetylhomoserine/O-acetylserine sulfhydrylase	K17069
MET18, MMS19; DNA repair/transcription protein MET18/MMS19	K15075
meT1; MMP 1-O-methyltransferase	K24288
MET1; uroporphyrin-III C-methyltransferase	K00589
MET30; F-box and WD-40 domain protein MET30	K10259
MET8; precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase	K02304
metA; homoserine O-succinyltransferase/O-acetyltransferase	K00651
metB; cystathionine gamma-synthase	K01739
metC; cysteine-S-conjugate beta-lyase	K01760
metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	K00549
metF, MTHFR; methylenetetrahydrofolate reductase (NADH)	K00297
MET, HGFR; proto-oncogene tyrosine-protein kinase Met	K05099
metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase	K00548
metI; D-methionine transport system permease protein	K02072
metJ; MetJ family transcriptional regulator, methionine regulon repressor	K03764
metK; S-adenosylmethionine synthetase	K00789
metL; bifunctional aspartokinase / homoserine dehydrogenase 2	K12525
metN; D-methionine transport system ATP-binding protein	K02071
metQ; D-methionine transport system substrate-binding protein	K02073
metR; LysR family transcriptional regulator, regulator for metE and metH	K03576
METTL14; mRNA m6A methyltransferase non-catalytic subunit	K23960
METTL16, METT10D; U6 snRNA m6A methyltransferase	K11393
METTL21A; protein N-lysine methyltransferase METTL21A	K21804
METTL21B, EEF1AKMT3; EEF1A lysine methyltransferase 3	K21803
METTL21C; protein N-lysine methyltransferase METTL21C	K21805
METTL22; methyltransferase-like protein 22	K23040
METTL23; methyltransferase-like protein 23	K23151
METTL27; methyltransferase-like protein 27	K24419
METTL2; tRNA N(3)-methylcytidine methyltransferase METTL2	K24974
METTL3; mRNA m6A methyltransferase catalytic subunit	K05925
METTL4; N(6)-adenine-specific DNA methyltransferase	K24174
METTL5; rRNA N6-adenosine-methyltransferase METTL5	K24418
METTL6; tRNA N(3)-methylcytidine methyltransferase METTL6	K00599
METTL8; mRNA N(3)-methylcytidine methyltransferase METTL8	K24975
metV; methylenetetrahydrofolate reductase (NADH) small subunit	K25007
metX; homoserine O-acetyltransferase/O-succinyltransferase	K00641
metY; O-acetylhomoserine (thiol)-lyase	K01740
metZ; O-succinylhomoserine sulfhydrylase	K10764
MEX3, RKHD; RNA-binding protein MEX3	K15686
mexC; membrane fusion protein, multidrug efflux system	K18295
mexD; multidrug efflux pump	K18296
mexE; membrane fusion protein, multidrug efflux system	K18298
mexF; multidrug efflux pump	K18299
mexG; transmembrane protein	K18305
mexH; membrane fusion protein, multidrug efflux system	K18306
mexI; multidrug efflux pump	K18307
mexJ; membrane fusion protein, multidrug efflux system	K18302
mexK; multidrug efflux pump	K18303
mexL; TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor	K18301
mexM; membrane fusion protein, multidrug efflux system	K21135
mexN; multidrug efflux pump	K21133
mexR; MarR family transcriptional regulator, repressor of the mexAB-oprM multidrug resistance operon	K18131
mexT; LysR family transcriptional regulator, mexEF-oprN operon transcriptional activator	K18297
mexX, amrA; membrane fusion protein, multidrug efflux system	K18094
mexY, amrB; multidrug efflux pump	K18095
mexZ; TetR/AcrR family transcriptional regulator, mexXY operon repressor	K18129
MFAL; mating pheromone alpha-factor	K11234
MFA; mating pheromone A-factor	K11235
MFAP1; microfibrillar-associated protein 1	K13110
mfd; transcription-repair coupling factor (superfamily II helicase)	K03723
MFF; mitochondrial fission factor	K22076
MFGE8; lactadherin	K17253
MFI2, CD228; melanoma-associated antigen p97	K06569
MFN1; mitofusin 1	K21356
MFN2, FZO1; mitofusin 2	K06030
mfnA, adc; tyrosine decarboxylase / aspartate 1-decarboxylase	K18933
mfnB; (5-formylfuran-3-yl)methyl phosphate synthase	K09733
mfnC; (5-formylfuran-3-yl)methyl phosphate transaminase	K19793
mfnD; tyramine---L-glutamate ligase	K06914
mfnE; 5-(aminomethyl)-3-furanmethanol phosphate kinase	K07144
mfnF; (4-(4-[2-(gamma-L-glutamylamino)ethyl]phenoxymethyl)furan-2-yl)methanamine synthase	K07072
MFP2; enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase	K10527
mfppA; mannosylfructose-6-phosphate phosphatase	K13086
mfpsA; mannosylfructose-phosphate synthase	K13058
MFRP; membrane frizzled-related protein	K24359
MFS.CP; MFS transporter, CP family, cyanate transporter	K03449
MFSD2A; sodium-dependent lysophosphatidylcholine symporter 1	K23894
MFSD2B; major facilitator superfamily domain-containing protein 2B	K23895
MFSD5; MFS transporter, MFS domain-containing protein family, molybdate-anion transporter	K24175
MFS.SET; MFS transporter, SET family, sugar efflux transporter	K03291
MFT1; THO complex subunit MFT1	K18714
mftA; mycofactocin precursor peptide MftA	K24694
mftB; mycofactocin biosynthesis protein MftB	K24695
mftC;	K24696
mftD; pre-mycofactocin synthase	K24693
mftE; mycofactocin precursor peptide peptidase	K24697
mftF; mycofactocin glycosyltransferase	K24698
mftR; TetR/AcrR family transcriptional regulator, regulator of mycofactocin system	K24699
MG25; beta-cubebene synthase	K21982
MGA; MAX gene-associated protein	K23399
MGAM; maltase-glucoamylase	K12047
MGAT1; alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	K00726
MGAT2; alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	K00736
MGAT3; beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	K00737
MGAT4A_B; alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase A/B	K00738
MGAT4C; alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase C	K13748
MGAT5; alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	K00744
MGAT5B; mannosyl alpha-1,6-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B	K09661
MGD; 1,2-diacylglycerol 3-beta-galactosyltransferase	K03715
mgdA; 1,2-diacylglycerol 3-beta-glucosyltransferase	K19003
mgdA; methylglutamate dehydrogenase subunit A	K22084
mgdB; methylglutamate dehydrogenase subunit B	K22085
mgdC; methylglutamate dehydrogenase subunit C	K22086
mgdD; methylglutamate dehydrogenase subunit D	K22087
mgdE; monoglucosyldiacylglycerol epimerase	K20024
mggA; mannosylglucosyl-3-phosphoglycerate synthase	K21369
mggS; mannosylglucosylglycerate synthase	K22908
mglA; methyl-galactoside transport system ATP-binding protein	K10542
mglA; mutual gliding-motility protein MglA	K24105
mglB; methyl-galactoside transport system substrate-binding protein	K10540
mglC; methyl-galactoside transport system permease protein	K10541
MGLL; acylglycerol lipase	K01054
MGM1; dynamin-like GTPase MGM1, mitochondrial	K22140
mgm; 2-methyleneglutarate mutase	K20450
MGME1, DDK1; mitochondrial genome maintenance exonuclease 1	K19465
mgp; 4-O-beta-D-mannosyl-D-glucose phosphorylase	K16212
MGP; matrix Gla protein	K19481
mgrA; MarR family transcriptional regulator, multiple gene regulator MgrA	K18906
MGRN1; E3 ubiquitin-protein ligase MGRN1	K10604
mgrR; small regulatory RNA MgrR	K18514
mgsA; methylamine---glutamate N-methyltransferase subunit A	K22081
mgsA; methylglyoxal synthase	K01734
mgs, bgsB; 1,2-diacylglycerol 3-alpha-glucosyltransferase	K19002
mgsB; methylamine---glutamate N-methyltransferase subunit B	K22082
mgsC; methylamine---glutamate N-methyltransferase subunit C	K22083
mgs; mannosylglycerate synthase	K18818
mgtA, mgtB; P-type Mg2+ transporter	K01531
mgtA; phosphatidylinositol alpha 1,6-mannosyltransferase	K12583
mgtC; putative Mg2+ transporter-C (MgtC) family protein	K07507
mgtE; magnesium transporter	K06213
mgt, oleD; macrolide glycosyltransferase	K21251
MHC1; MHC class I antigen	K06751
MHC2; MHC class II antigen	K06752
mhpA; 3-(3-hydroxy-phenyl)propionate hydroxylase	K05712
mhpB; 2,3-dihydroxyphenylpropionate 1,2-dioxygenase	K05713
mhpC; 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase	K05714
mhpco; 2-methyl-3-hydroxypyridine 5-carboxylic acid dioxygenase	K18071
mhpD; 2-keto-4-pentenoate hydratase	K02554
mhpE; 4-hydroxy 2-oxovalerate aldolase	K01666
mhpF; acetaldehyde dehydrogenase	K04073
mhpR; IclR family transcriptional regulator, mhp operon transcriptional activator	K05818
mhpT; MFS transporter, AAHS family, 3-hydroxyphenylpropionic acid transporter	K05819
mhqR; MarR family transcriptional regulator, 2-MHQ and catechol-resistance regulon repressor	K15973
mhuD, hmoB; heme oxygenase (mycobilin-producing)	K21481
MHX; magnesium/proton exchanger	K03452
MIA2, CTAGE5; melanoma inhibitory activity protein 2	K23703
MIA3, TANGO1; transport and golgi organization protein 1	K23704
MIA40, CHCHD4; mitochondrial intermembrane space import and assembly protein 40	K17782
miaA, TRIT1; tRNA dimethylallyltransferase	K00791
miaB; tRNA-2-methylthio-N6-dimethylallyladenosine synthase	K06168
miaE; tRNA 2-(methylsulfanyl)-N6-isopentenyladenosine37 hydroxylase	K06169
MIA; melanoma inhibitory activity protein	K16655
MIB; E3 ubiquitin-protein ligase mind-bomb	K10645
mibs; 2-methylisoborneol synthase	K16218
MIC12; MICOS complex subunit MIC12	K17787
MIC19; MICOS complex subunit MIC19	K17788
MIC26; MICOS complex subunit MIC26	K17786
MIC27; MICOS complex subunit MIC27	K17789
MIC3; microneme protein	K14144
MICAL; F-actin monooxygenase	K19947
MICALL1; MICAL-like protein 1	K19948
MICALL2, JRAB; MICAL-like protein 2	K21068
micA; small regulatory RNA MicA	K18511
micC; small regulatory RNA MicC	K18512
micF; small regulatory RNA MicF	K18513
MIC; MHC class I-related protein	K07985
MICOS10, MINOS1, MIC10; MICOS complex subunit MIC10	K17784
MICOS13; MICOS complex subunit MIC13	K24624
MICU1; calcium uptake protein 1, mitochondrial	K22827
MICU2; calcium uptake protein 2, mitochondrial	K22828
MICU3; calcium uptake protein 3, mitochondrial	K23843
MID1; calcium channel MID1	K08284
MID2, MTL1; mating pheromone-induced death protein 2	K11245
MIEF1_2; mitochondrial dynamics protein MID51/49	K23507
MIF; phenylpyruvate tautomerase	K07253
migA; alpha-1,6-rhamnosyltransferase	K12987
MIG; zinc-finger protein CreA/MIG	K09467
MIH1; M-phase inducer tyrosine phosphatase	K02555
mii; methylitaconate Delta-isomerase	K20451
MIK; 1D-myo-inositol 3-kinase	K19517
MIN7; guanine nucleotide-exchange factor	K13462
MINAR1; major intrinsically disordered Notch2-binding receptor 1	K24829
MINAR2; major intrinsically disordered Notch2-binding receptor 2	K24830
minC; septum site-determining protein MinC	K03610
minD; septum site-determining protein MinD	K03609
MINDY1_2; ubiquitin carboxyl-terminal hydrolase MINDY-1/2	K01309
MINDY3_4; ubiquitin carboxyl-terminal hydrolase MINDY-3/4	K22647
